id,professor,position,field,capacity
1,伊藤 寛祥,助教,"機械学習,ソーシャルネットワーク分析,ヒューマンコンピューテーション",3
2,宇陀 則彦,教授,"デジタルヒューマニティーズ,電子図書館,知識情報学,情報資源管理",3
3,大澤 文人,助教,教育工学,3
4,加藤 誠,准教授,"Webマイニング,情報検索,オープンデータ",3
5,金 宣経,助教,"ヒューマンロボット/コンピュータインタラクション,コミュニケーション支援,認知科学",3
6,阪口 哲男,准教授,"Linked Dataに関する開発支援,クラウドソーシング基盤技術と応用,情報共有・伝達の技術基盤開発",3
7,鈴木 伸崇,教授,"構造化文書,データベース,データ工学,アルゴリズム",3
8,関 洋平,教授,"情報アクセス,自然言語処理,コミュニケーション支援",3
9,時井 真紀,講師,"情報表現,計算物理,計算機シミュレーション",3
10,永井 正勝,教授,"博物館情報学,文化遺産のデジタル化,言語と文字体系",3
11,松村 敦,助教,"絵本推薦,情報探索,情報検索,情報推薦,Web情報システム",3
12,山本 修平,准教授,"行動モデリング,マルチモーダルデータ分析,機械学習",3
13,李 昇姫,准教授,"コミュニケーションデザイン,デジタルメディアに対するユーザ評価",2
14,于 海涛,准教授,"知能情報学,図書館情報学,インタラクティブ情報検索",2
15,落合 陽一,准教授,"メディアアート,実世界志向コンピュータグラフィクス,ヒューマンインターフェイス",2
16,小野 永貴,助教,"学校図書館,学習情報資源,情報教育,図書館情報学",2
17,ﾊﾞｰﾙｨｼｪﾌ ｴﾄﾞﾜﾙﾄﾞ,准教授,"アーカイブズ学,国際関係史,比較社会学",2
18,真栄城 哲也,教授,"知識構造・表現,情報生物学",2
19,村田 光司,助教,"アーカイブズ学,記憶情報の伝達と管理,西洋前近代史",2
20,森嶋 厚行,教授,"データ工学/ビッグデータ,集合知/クラウドソーシング,ソフトウェア工学",2
21,森継 修一,教授,情報科学,2
22,若林 啓,准教授,"統計的機械学習,対話システム,ソーシャルメディア解析",2